Neighbourhood Name,    Average after-tax income in 2020 among recipients ($),"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",Total - Persons in private households - 25% sample data,YEAR,Degree Rate
West Humber-Clairville,35800,29000,33300,2020,0.8708708708708709
Mount Olive-Silverstone-Jamestown,31760,25655,31345,2020,0.8184718455894082
Thistletown-Beaumond Heights,36360,8350,9850,2020,0.8477157360406091
Rexdale-Kipling,36880,8805,10375,2020,0.8486746987951808
Elms-Old Rexdale,36440,7745,9355,2020,0.8278995189738108
Kingsview Village-The Westway,38640,18090,22005,2020,0.8220858895705522
Willowridge-Martingrove-Richview,45160,18945,22445,2020,0.8440632657607485
Humber Heights-Westmount,50160,8635,10005,2020,0.8630684657671165
Edenbridge-Humber Valley,68700,13120,15190,2020,0.8637261356155366
Princess-Rosethorn,70900,9420,11170,2020,0.8433303491495077
Eringate-Centennial-West Deane,47240,15810,18450,2020,0.8569105691056911
Markland Wood,55800,9055,10365,2020,0.8736131210805596
Etobicoke West Mall,41360,10085,11865,2020,0.8499789296249474
Kingsway South,102400,7425,8855,2020,0.8385093167701864
Stonegate-Queensway,59250,21430,25650,2020,0.8354775828460039
New Toronto,43520,9695,11345,2020,0.8545614808285589
Long Branch,48680,9765,11360,2020,0.8595950704225352
Alderwood,49080,10555,12595,2020,0.8380309646685192
Humber Summit,34080,10345,12185,2020,0.8489946655724251
Humbermede,34240,13930,16955,2020,0.8215865526393394
Pelmo Park-Humberlea,41720,9600,11290,2020,0.8503100088573959
Black Creek,30800,17145,21145,2020,0.8108299834476236
Glenfield-Jane Heights,32480,25075,30020,2020,0.8352764823451032
York University Heights,34680,24395,28255,2020,0.8633870111484693
Rustic,35480,7765,9390,2020,0.8269435569755058
Maple Leaf,40600,8390,9845,2020,0.8522092432706958
Brookhaven-Amesbury,36920,14430,17495,2020,0.8248070877393541
Yorkdale-Glen Park,40080,14560,16625,2020,0.8757894736842106
Englemount-Lawrence,50960,16980,21285,2020,0.7977448907681466
Clanton Park,50080,14775,17620,2020,0.8385357548240636
Bathurst Manor,42560,13675,15955,2020,0.8570980883735506
Westminster-Branson,37600,22325,25705,2020,0.8685080723594631
Newtonbrook West,37200,21200,23805,2020,0.8905692081495484
Willowdale West,46040,15395,17160,2020,0.8971445221445221
Lansing-Westgate,58350,13595,15910,2020,0.8544940289126336
Bedford Park-Nortown,87200,18155,22145,2020,0.8198238880108376
St.Andrew-Windfields,73100,14525,16960,2020,0.8564268867924528
Bridle Path-Sunnybrook-York Mills,141200,7625,8940,2020,0.8529082774049217
Banbury-Don Mills,59000,23685,27155,2020,0.8722150616829313
Victoria Village,38240,14655,17365,2020,0.8439389576734811
Flemingdon Park,33720,18375,22530,2020,0.8155792276964048
Pleasant View,38960,13410,15220,2020,0.8810775295663601
Don Valley Village,39760,22945,26775,2020,0.8569561157796451
Hillcrest Village,41000,14395,16345,2020,0.8806974609972469
Bayview Woods-Steeles,46120,10770,12085,2020,0.8911874224244932
Newtonbrook East,42920,13770,15345,2020,0.8973607038123167
Bayview Village,46960,19935,22330,2020,0.8927451858486342
